iter	Passed	Remaining
399	77874	214154
400	78138	214149
401	78415	214180
402	78625	214024
403	78835	213870
404	79010	213620
405	79205	213424
406	79442	213344
407	79658	213203
408	79810	212893
409	79990	212657
410	80230	212580
411	80458	212473
412	80678	212343
413	80852	212091
414	81093	212015
415	81364	212016
416	81590	211899
417	81843	211854
418	82028	211630
419	82302	211634
420	82451	211318
421	82672	211186
422	82934	211158
423	83202	211146
424	83413	210987
425	83614	210802
426	83783	210538
427	84012	210422
428	84232	210286
429	84390	209994
430	84543	209690
431	84692	209379
432	84842	209068
433	85032	208858
434	85267	208759
435	85460	208554
436	85610	208247
437	85809	208059
438	85996	207840
439	86131	207498
440	86298	207234
441	86474	206990
442	86622	206680
443	86871	206612
444	87090	206471
445	87277	206256
446	87495	206112
447	87714	205972
448	87944	205855
449	88163	205714
450	88347	205491
451	88555	205323
452	88823	205293
453	89050	205169
454	89258	205001
455	89464	204827
456	89727	204781
457	89939	204622
458	90163	204488
459	90403	204391
460	90682	204379
461	90876	204177
462	91159	204172
463	91425	204131
464	91724	204159
465	91896	203908
466	92156	203850
467	92438	203837
468	92664	203703
469	92972	203747
470	93178	203568
471	93464	203561
472	93734	203521
473	93946	203351
474	94169	203207
475	94435	203155
476	94611	202908
477	94848	202793
478	95005	202506
479	95260	202427
480	95515	202350
481	95760	202249
482	96003	202145
483	96218	201979
484	96514	201983
485	96833	202034
486	97066	201906
487	97263	201701
488	97493	201567
489	97718	201420
490	97913	201210
491	98138	201063
492	98379	200948
493	98576	200744
494	98830	200656
495	99032	200460
496	99253	200305
497	99482	200164
498	99727	200055
499	99921	199842
500	100150	199701
501	100436	199673
502	100650	199499
503	100860	199320
504	101129	199254
505	101362	199118
506	101623	199038
507	101902	198990
508	102166	198914
509	102379	198737
510	102589	198554
511	102776	198326
512	103043	198253
513	103234	198034
514	103505	197967
515	103746	197842
516	104063	197861
517	104357	197836
518	104702	197905
519	104932	197756
520	105215	197707
521	105749	198127
522	106044	198099
523	106248	197898
524	106521	197825
525	106714	197604
526	106994	197544
527	107292	197515
528	107550	197412
529	107931	197534
530	108183	197420
531	108386	197214
532	108601	197031
533	108893	196987
534	109183	196938
535	109557	197039
536	109826	196951
537	110077	196829
538	110285	196632
539	110646	196704
540	110884	196559
541	111190	196531
542	111406	196346
543	111642	196195
544	111887	196059
545	112135	195928
546	112345	195731
547	112563	195548
548	112777	195358
549	113087	195332
550	113329	195189
551	113569	195042
552	113799	194879
553	114049	194748
554	114229	194499
555	114419	194267
556	114597	194013
557	114872	193925
558	115120	193789
559	115473	193831
560	115714	193682
561	115930	193492
562	116196	193386
563	116450	193258
564	116723	193162
565	116973	193027
566	117151	192773
567	117348	192550
568	117835	192803
569	118130	192739
570	118375	192592
571	118546	192327
572	118896	192350
573	119258	192393
574	119436	192137
575	119642	191926
576	119888	191780
577	120136	191635
578	120407	191528
579	120781	191583
580	121087	191530
581	121452	191569
582	121673	191379
583	122052	191438
584	122231	191183
585	122464	191011
586	122825	191038
587	123068	190881
588	123468	190968
589	123810	190962
590	123979	190689
591	124235	190550
592	124419	190300
593	124723	190235
594	125052	190205
595	125250	189976
596	125632	190026
597	125690	189587
598	125909	189389
599	126098	189147
600	126371	189031
601	126587	188829
602	126766	188572
603	127022	188430
604	127253	188250
605	127503	188099
606	127691	187855
607	127929	187685
608	128224	187599
609	128520	187513
610	128815	187425
611	129059	187263
612	129337	187148
613	129571	186971
614	129807	186796
615	129989	186543
616	130255	186410
617	130465	186197
618	130688	186004
619	130995	185929
620	131241	185766
621	131445	185545
622	131701	185396
623	131980	185280
624	132188	185064
625	132393	184843
626	132621	184654
627	132838	184451
628	133191	184435
629	133492	184346
630	133820	184294
631	134077	184144
632	134333	183991
633	134577	183823
634	134855	183700
635	135162	183616
636	135422	183468
637	135599	183208
