iter	MultiClass
149	0.2377950095
150	0.2363016384
151	0.2352223213
152	0.2339655355
153	0.2326942875
154	0.2312015307
155	0.230400975
156	0.229240927
157	0.2281641829
158	0.2272061461
159	0.2259022614
160	0.2245988366
161	0.2232408338
162	0.2221030932
163	0.2211165682
164	0.2202232364
165	0.2192128274
166	0.2179967179
167	0.2170742911
168	0.2157912005
169	0.2144292971
170	0.2132970769
171	0.2121903391
172	0.210997449
173	0.2100599045
174	0.2092033537
175	0.2082267575
176	0.2074993039
177	0.206610105
178	0.2057497858
179	0.2050133945
180	0.2040017953
181	0.2031424203
182	0.2021356608
183	0.2013191798
184	0.200345294
185	0.1994861591
186	0.198404687
187	0.1973889605
188	0.1959842385
189	0.1951344536
190	0.1940676181
191	0.1931455617
192	0.1923913939
193	0.1915884933
194	0.1907753165
195	0.1900115968
196	0.1891289895
197	0.1882629132
198	0.1876456379
199	0.1869172281
200	0.1860281251
201	0.1851784131
202	0.1845005911
203	0.1834707925
204	0.1825070701
205	0.1817954414
206	0.1808712968
207	0.1800523804
208	0.1794591115
209	0.1787815856
210	0.177894043
211	0.1771365112
212	0.1764084349
213	0.1757574763
214	0.1749763996
215	0.1743930712
216	0.1735230937
217	0.1728961149
218	0.1721827373
219	0.171429409
220	0.1708576403
221	0.1702587527
222	0.1693186883
223	0.1687133173
224	0.1681041573
225	0.1675935273
226	0.1669488584
227	0.1659983852
228	0.165530539
229	0.164920282
230	0.1643344108
231	0.163709662
232	0.1628396978
233	0.1621106596
234	0.1613609347
235	0.1607559381
236	0.1601228519
237	0.1594059116
238	0.1587556991
239	0.1582144481
240	0.1575048072
241	0.1569091153
242	0.1562486335
243	0.1555386491
244	0.1549675055
245	0.154405679
246	0.1538426044
247	0.1531674482
248	0.1524788169
249	0.1516585253
250	0.15097522
251	0.1503400287
252	0.1496722311
253	0.1490824344
254	0.1484820755
255	0.1478636262
256	0.1472599684
257	0.1465749188
258	0.1459495549
259	0.1453551474
260	0.1448888151
261	0.1444329421
262	0.1439565577
263	0.1434059954
264	0.1429851949
265	0.142462796
266	0.1420525914
267	0.1414534296
268	0.1409890793
269	0.1403836605
270	0.1398413175
271	0.1393638386
272	0.1387111769
273	0.1383650909
274	0.1376905968
275	0.1371465755
276	0.1366148362
277	0.1362635478
278	0.1357437754
279	0.1353201748
280	0.134552119
281	0.1339456588
282	0.1334283434
283	0.1329984861
284	0.1326586005
285	0.1321345259
286	0.1317301994
287	0.131275289
288	0.1305027633
289	0.130000585
290	0.129559006
291	0.1290655718
292	0.1286054632
293	0.1281713678
294	0.1278114952
295	0.1275006393
296	0.1270839891
297	0.126664334
298	0.1262434785
299	0.125948778
300	0.1255125198
301	0.12518823
302	0.1247636693
303	0.1241630045
304	0.1237540857
305	0.1232393124
306	0.1227604502
307	0.1223621548
308	0.1218231957
309	0.1214138415
310	0.1211059112
311	0.1207088221
312	0.1202736943
313	0.1198835353
314	0.1194502468
315	0.1190185914
316	0.1187008222
317	0.1182027539
318	0.1177691131
319	0.11738628
320	0.1169284316
321	0.1163659522
322	0.1159674606
323	0.1156967036
324	0.1153406207
325	0.1148690167
326	0.1145633582
327	0.1141220524
328	0.1138786274
329	0.113404378
330	0.1130976453
331	0.1127784616
332	0.1124781064
333	0.1121297085
334	0.111800294
335	0.11130432
336	0.1110256017
337	0.1106991231
338	0.1102487313
339	0.1098974478
340	0.1094340012
341	0.1088523882
342	0.1085131779
343	0.1081271613
344	0.1078394896
345	0.1075586402
346	0.10723266
347	0.1067811993
348	0.1064402708
349	0.1060852284
350	0.105713334
351	0.1054229142
352	0.1051990988
353	0.1049473117
354	0.1046213599
355	0.1043491235
356	0.1040430562
357	0.1037070553
358	0.1034379371
359	0.1030874118
360	0.1028737695
361	0.1025942279
362	0.1022993376
363	0.1020026955
364	0.1016087986
365	0.1013669629
366	0.1010584461
367	0.100756527
368	0.1004569358
369	0.1002482749
370	0.09989174413
371	0.09956137904
372	0.09937919978
373	0.09914169148
374	0.09874096189
375	0.09857310991
376	0.09837177282
377	0.09801649709
378	0.09774404588
379	0.09749440129
380	0.09725876213
381	0.09702770818
382	0.09673719913
383	0.09651889717
384	0.09633324386
385	0.09602796184
386	0.0957993736
387	0.09549569281
388	0.09526943288
389	0.09498269204
390	0.09480891794
391	0.09453380456
392	0.09434369115
393	0.09410014402
394	0.09390490764
395	0.0936881382
396	0.09342865866
397	0.09312756578
398	0.09292937399
399	0.09259169573
400	0.09237809419
401	0.09217100076
402	0.09185533248
403	0.09157612119
404	0.09125016276
405	0.09093857703
406	0.0907031753
407	0.09046577945
408	0.09027467909
409	0.09007657883
410	0.08987699695
411	0.08964708832
412	0.08931496105
413	0.08910352663
414	0.08883071751
415	0.08865715827
416	0.08843675484
417	0.08822667428
418	0.08797691288
419	0.08781400365
420	0.08756570211
421	0.08735869501
422	0.08711788419
423	0.08689046685
424	0.0866576899
425	0.08643126635
426	0.08623122725
427	0.08605167088
428	0.08584145617
429	0.08558448083
430	0.08538500911
431	0.08525216213
432	0.08506479298
433	0.08476976825
434	0.08458154898
435	0.08433294387
436	0.08417795714
437	0.08395658342
438	0.08377726773
439	0.08362613921
440	0.08341411557
441	0.08320939308
442	0.08302972694
443	0.08289146886
444	0.08265049118
445	0.08243666618
446	0.08223970827
447	0.08207611516
448	0.08187984587
449	0.08165739774
450	0.08147394653
451	0.08130909854
452	0.08113050016
453	0.08095517037
454	0.08077651
455	0.08058858865
456	0.08042884641
457	0.08025009637
458	0.08017873492
459	0.08004175786
460	0.07985686458
461	0.07964576048
462	0.07946542931
463	0.07921016907
464	0.07898853957
465	0.0787997557
466	0.07860644438
467	0.07841707386
468	0.07824615124
469	0.07806989606
470	0.07784406365
471	0.07769557944
472	0.07751331381
473	0.07736907897
474	0.0772022173
475	0.07698686393
476	0.07682411917
477	0.07666875728
478	0.07651503159
479	0.0762703303
480	0.07607983482
481	0.07593574526
482	0.0757559225
483	0.07562489097
484	0.07544842766
485	0.07529420964
486	0.07512625562
487	0.07497478451
488	0.07486015643
489	0.07471531712
490	0.07454592214
491	0.07442727374
492	0.07424985718
493	0.07408903852
494	0.07395450403
495	0.0737318977
496	0.0735346563
497	0.073371188
498	0.07323877662
499	0.07303872205
500	0.07287130705
501	0.07271023799
502	0.07256695514
503	0.07243066562
504	0.07229355233
505	0.07210023471
506	0.07198819689
507	0.07184519643
508	0.07170507598
509	0.07160120233
510	0.07146220188
511	0.07130967121
512	0.07115264862
513	0.07093767506
514	0.07080314209
515	0.07065130213
516	0.07048727385
517	0.07035593819
518	0.07018487931
519	0.07000808801
520	0.06986659882
521	0.0697327314
522	0.06955957377
523	0.0694065196
524	0.06923977264
525	0.06908310185
526	0.06896811717
527	0.06879823371
528	0.06863931043
529	0.06850693014
530	0.06837566678
531	0.06826219457
532	0.06810577124
533	0.06797316873
534	0.06784581364
535	0.06773497461
536	0.06755491099
537	0.06742168221
538	0.06722908132
539	0.06714199242
540	0.0670150207
541	0.06687069201
542	0.06671046476
543	0.06659885634
544	0.06640428137
545	0.0662137373
546	0.0660904467
547	0.06593956872
548	0.0657845174
549	0.0656586626
550	0.06555365762
551	0.06541171529
552	0.06526810768
553	0.0651174083
554	0.06502227594
555	0.06488874355
556	0.06476173451
557	0.06463391439
558	0.06447553178
559	0.06431650666
560	0.06418686
561	0.06406246065
562	0.06394795974
563	0.06379844202
564	0.06367452073
565	0.06353155946
566	0.0634281857
567	0.06330053718
568	0.06314158259
569	0.06301245803
570	0.06290525246
571	0.06275219817
572	0.06263095397
573	0.06251515972
574	0.06239702024
575	0.06228118845
576	0.06214615214
577	0.06204912189
578	0.06190335914
579	0.0617890931
580	0.06168666419
581	0.06154750352
582	0.06140233529
583	0.06127019064
584	0.06117488752
585	0.06106202861
586	0.06093998701
587	0.0608011736
588	0.06067206733
589	0.06056986827
590	0.06042526253
591	0.06030372095
592	0.06020338215
593	0.0601055894
594	0.06000248837
595	0.05990806887
596	0.05976450194
597	0.05967988801
598	0.05954184456
599	0.05942522665
600	0.05932217958
601	0.05921281396
602	0.0591330562
603	0.05899192147
604	0.05889722215
605	0.05878641715
606	0.05867467682
607	0.05857426969
608	0.05847558357
609	0.0583572286
610	0.0582209382
611	0.05812004029
612	0.05799655274
613	0.05790042561
614	0.05780473973
615	0.05769382348
616	0.05757658687
617	0.05745838595
618	0.05738617854
619	0.05729269869
620	0.05717130933
621	0.05706446987
622	0.05695331272
623	0.05687016013
624	0.05677601023
625	0.05666460517
626	0.05658148516
627	0.05647148466
628	0.05638125013
629	0.05624877703
630	0.05611631842
631	0.05599487228
632	0.05587775844
633	0.05580482025
634	0.05570519194
635	0.05562203213
636	0.05550909195
637	0.05540260848
